Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32RandomWalkA,1,880879381715801850,1.0,1.0,0.0,32,178,0
ScenarioSize64Probes32RandomWalkA,2,1726760884372734954,1.0,1.0,0.0,32,151,0
ScenarioSize64Probes32RandomWalkA,3,4258223208824758363,1.0,1.0,0.0,32,121,0
ScenarioSize64Probes32RandomWalkA,4,2933576904639372249,1.0,1.0,0.0,32,122,0
ScenarioSize64Probes32RandomWalkA,5,1619482046725515514,1.0,1.0,0.0,32,134,0
ScenarioSize64Probes32RandomWalkA,6,8295202924942681088,1.0,1.0,0.0,32,177,0
ScenarioSize64Probes32RandomWalkA,7,6220178296303381513,1.0,1.0,0.0,32,139,0
ScenarioSize64Probes32RandomWalkA,8,6524421527956593628,1.0,1.0,0.0,32,109,0
ScenarioSize64Probes32RandomWalkA,9,1279641774440027009,1.0,1.0,0.0,32,129,0
ScenarioSize64Probes32RandomWalkA,10,7094737511858396355,1.0,1.0,0.0,32,128,0
ScenarioSize64Probes32RandomWalkA,11,7842193693029557975,1.0,1.0,0.0,32,148,0
ScenarioSize64Probes32RandomWalkA,12,2392680491109428476,1.0,1.0,0.0,32,147,0
ScenarioSize64Probes32RandomWalkA,13,3866198558357324097,1.0,1.0,0.0,32,136,0
ScenarioSize64Probes32RandomWalkA,14,1395931845597272999,1.0,1.0,0.0,32,133,0
ScenarioSize64Probes32RandomWalkA,15,2411645404100907887,1.0,1.0,0.0,32,137,0
ScenarioSize64Probes32RandomWalkA,16,3005318628866213391,1.0,1.0,0.0,32,162,0
ScenarioSize64Probes32RandomWalkA,17,1188136200599286222,1.0,1.0,0.0,32,140,0
ScenarioSize64Probes32RandomWalkA,18,679805008651456991,1.0,1.0,0.0,32,173,0
ScenarioSize64Probes32RandomWalkA,19,2317393341493435360,1.0,1.0,0.0,32,141,0
ScenarioSize64Probes32RandomWalkA,20,4066160913880139597,1.0,1.0,0.0,32,138,0
